Chr37	Start37	End37	Orient37	Chr38 	Start38	End38	Orient38
1	120898564	120898878	+	1	121124406	121124720	-
1	120898878	120903648	+	1	121119635	121124405	-
1	120903649	120904209	+	1	121119075	121119635	-
1	120904210	120904371	+	1	121118914	121119075	-
1	120904371	120909010	+	1	121114274	121118913	-
1	120909010	120911332	+	1	121111949	121114271	-
1	120911333	120920035	+	1	121103247	121111949	-
1	120920037	120923363	+	1	121099921	121103247	-
1	120923367	120936695	+	1	121086593	121099921	-
1	121086695	121096191	+	1	121344829	121354325	+
1	121096191	121096281	+	1	121354329	121354419	+
1	121096282	121097196	+	1	121354419	121355333	+
1	121097196	121117202	+	1	121355335	121375341	+
1	121117203	121118985	+	1	121375341	121377123	+
1	121118985	121136352	+	1	121377124	121394491	+
1	121136352	121174335	+	1	121394492	121432475	+
1	121174335	121182511	+	1	121432476	121440652	+
1	121182511	121193562	+	1	121440653	121451704	+
1	121193562	121200441	+	1	121451706	121458585	+
1	121200441	121200874	+	1	121458588	121459021	+
1	121200875	121215017	+	1	121459021	121473163	+
1	121215017	121485434	+	1	121473219	121743636	+
1	143271496	143271790	+	1	143427842	143428136	-
1	143271790	143272049	+	1	143427571	143427830	-
1	143272050	143272264	+	1	143427357	143427571	-
1	143272264	143272415	+	1	143427205	143427356	-
1	143272415	143272518	+	1	143427101	143427204	-
1	143272518	143272524	+	1	143427092	143427098	-
1	143272526	143272552	+	1	143427066	143427092	-
1	143272553	143273032	+	1	143426587	143427066	-
1	143273032	143273039	+	1	143426577	143426584	-
1	143273041	143273045	+	1	143426573	143426577	-
1	143273045	143273058	+	1	143426559	143426572	-
1	143273058	143273304	+	1	143426311	143426557	-
1	143273304	143273538	+	1	143426074	143426308	-
1	143273538	143273707	+	1	143425901	143426070	-
1	143273708	143274035	+	1	143425574	143425901	-
1	143274036	143274039	+	1	143425571	143425574	-
1	143274039	143274064	+	1	143425545	143425570	-
1	143274110	143274142	+	1	143425513	143425545	-
1	143274168	143274317	+	1	143425364	143425513	-
1	143274330	143274372	+	1	143425322	143425364	-
1	143274372	143274650	+	1	143425040	143425318	-
1	143274650	143275003	+	1	143424686	143425039	-
1	143275005	143275040	+	1	143424651	143424686	-
1	143644621	143644636	+	1	148359976	148359991	+
1	143649969	143654936	+	1	148365325	148370292	+
1	143658480	143658498	+	1	148373837	148373855	+
1	143664390	143664729	+	1	148379748	148380087	+
1	143666375	143678159	+	1	148381736	148393520	+
1	143701031	143701036	+	1	148416387	148416392	+
1	143701987	143702008	+	1	148417345	148417366	+
1	143704402	143704424	+	1	148419761	148419783	+
1	143712428	143712429	+	1	148427789	148427790	+
1	143714501	143714521	+	1	148429862	148429882	+
1	143715649	143715662	+	1	148431020	148431033	+
1	143717189	143717197	+	1	148432561	148432569	+
1	143718871	143718884	+	1	148434242	148434255	+
1	143719020	143719040	+	1	148434393	148434413	+
1	143719588	143719615	+	1	148434963	148434990	+
1	143725579	143733927	+	1	148440978	148449326	+
1	143733973	143745004	+	1	148449374	148460405	+
1	143745124	143750262	+	1	148460524	148465662	+
1	143750262	143755909	+	1	148465663	148471310	+
1	143756308	143758787	+	1	148471713	148474192	+
1	143759436	143771002	+	1	148474840	148486406	+
1	143871002	143876280	+	1	145132869	145138147	-
1	143876280	143902009	+	1	145107134	145132863	-
1	143902009	143940194	+	1	145068948	145107133	-
1	143940194	143945239	+	1	145063897	145068942	-
1	143945239	143957146	+	1	144004069	144015976	+
1	143957146	143961918	+	1	145047205	145051977	-
1	143961919	143964424	+	1	145044700	145047205	-
1	143964424	143972578	+	1	145036528	145044682	-
1	143972579	143978377	+	1	145030730	145036528	-
1	143978377	143982063	+	1	145027035	145030721	-
1	143982064	143985918	+	1	145023181	145027035	-
1	143985919	143989898	+	1	145019202	145023181	-
1	143989898	143999498	+	1	145009601	145019201	-
1	143999499	144014532	+	1	144994568	145009601	-
1	144014536	144020080	+	1	144989024	144994568	-
1	144020080	144024733	+	1	144984370	144989023	-
1	144024736	144033215	+	1	144975891	144984370	-
1	144033215	144038446	+	1	144970659	144975890	-
1	144038447	144064380	+	1	144944726	144970659	-
1	144064384	144080702	+	1	144928408	144944726	-
1	144080702	144083310	+	1	144925795	144928403	-
1	144083322	144087820	+	1	144921297	144925795	-
1	144087820	144095783	+	1	144913332	144921295	-
1	144158421	144158436	+	1	149487575	149487590	+
1	144158495	144158670	+	1	149487649	149487824	+
1	144158682	144160215	+	1	149487824	149489357	+
1	144160215	144161771	+	1	149489361	149490917	+
1	144161775	144161813	+	1	149490917	149490955	+
1	144161817	144163410	+	1	149490955	149492548	+
1	144163412	144163436	+	1	149492548	149492572	+
1	144163436	144163546	+	1	149492576	149492686	+
1	144163546	144163679	+	1	149492687	149492820	+
1	144163824	144164874	+	1	145320664	145321714	-
1	144165163	144166237	+	1	145385879	145386953	-
1	144166528	144166563	+	1	145318973	145319008	-
1	144175803	144175835	+	1	145308104	145308136	-
1	144180829	144180835	+	1	145303124	145303130	-
1	144182470	144183936	+	1	145300031	145301497	-
1	144185349	144185380	+	1	145343012	145343043	-
1	144185384	144185466	+	1	145314383	145314465	-
1	144185584	144185601	+	1	145342795	145342812	-
1	144185803	144185830	+	1	145375857	145375884	-
1	144185833	144185864	+	1	145361561	145361592	-
1	144185864	144187231	+	1	145374456	145375823	-
1	144187239	144187465	+	1	145374230	145374456	-
1	144187473	144188366	+	1	145340032	145340925	-
1	144188366	144188431	+	1	145335213	145335278	-
1	144188431	144188531	+	1	145373164	145373264	-
1	144188531	144189012	+	1	145339386	145339867	-
1	144189012	144190384	+	1	145371311	145372683	-
1	144190384	144193531	+	1	145368162	145371309	-
